id,ident,type,name,Latitude,Longitude,elevation_ft,continent,iso_country,State,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS,Metro/Micro Statistical Area Name,Metro/Micro Statistical Area Code,Metro/Micro Statistical Area Type,Combined Statistical Area Name,Combined Statistical Area Code,Metropolitan Division Area Name,Metropolitan Division Area Code,,,,
5346,PACL,medium_airport,Clear Airport,64.301201,-149.119995,552,NA,US,US-AK,Clear,no,PACL,,Z84,,https://en.wikipedia.org/wiki/Clear_Airport,,,64.301201,-149.119995,0.52,nearest_place,,,,,Clear,AK,Denali Borough,99704,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2068,Anderson,203220,100,1007,1,2.068E+13,,,,,,,,,,1,
5347,PACM,medium_airport,Scammon Bay Airport,61.84529877,-165.5709991,14,NA,US,US-AK,Scammon Bay,no,PACM,SCM,SCM,,,,,61.842624,-165.57537,0.95,nearest_street,124,Front St,,,Scammon Bay,AK,Wade Hampton Census Area,99662,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2270,Scammon Bay,267680,100,4035,4,2.27E+13,,,,,,,,,,1,
5348,PACV,medium_airport,Merle K (Mudhole) Smith Airport,60.4917984,-145.4779968,54,NA,US,US-AK,Cordova,yes,PACV,CDV,CDV,,https://en.wikipedia.org/wiki/Merle_K._(Mudhole)_Smith_Airport,,,60.491798,-145.477997,0.09,nearest_place,,,,,Eyak,AK,Valdez-Cordova Census Area,99574,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2261,Cordova,217410,200,1275,1,2.261E+13,,,,,,,,,,1,
5349,PACZ,medium_airport,Cape Romanzof LRRS Airport,61.78030014,-166.0390015,464,NA,US,US-AK,Cape Romanzof,no,PACZ,CZF,CZF,,https://en.wikipedia.org/wiki/Cape_Romanzof_LRRS_Airport,,,61.7803,-166.039002,0.03,nearest_place,,,,,Scammon Bay,AK,Wade Hampton Census Area,99662,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2270,,,100,4111,4,2.27E+13,,,,,,,,,,1,
5350,PADE,medium_airport,Deering Airport,66.069603,-162.766006,21,NA,US,US-AK,Deering,no,PADE,DRG,DEE,,https://en.wikipedia.org/wiki/Deering_Airport,0Z0,,66.069603,-162.766006,0.47,nearest_place,,,,,Deering,AK,Northwest Arctic Borough,99736,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2188,Deering,218510,100,5080,5,2.188E+13,,,,,,,,,,1,
16092,PADK,medium_airport,Adak Airport,51.87799835,-176.6459961,18,NA,US,US-AK,Adak Island,yes,PADK,ADK,ADK,,https://en.wikipedia.org/wiki/Adak_Airport,,,51.869229,-176.639259,0.92,nearest_street,315,Ptarmigan St,,,Adak,AK,Aleutians West Census Area,99546,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2016,Adak,200065,100,1683,1,2.016E+13,,,,,,,,,,1,
5351,PADL,medium_airport,Dillingham Airport,59.04470062,-158.5050049,81,NA,US,US-AK,Dillingham,yes,PADL,DLG,DLG,,https://en.wikipedia.org/wiki/Dillingham_Airport,,,59.045163,-158.501921,0.97,nearest_street,1861,John Pearson Ln,,,Dillingham,AK,Dillingham Census Area,99576,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2070,Dillingham,218950,200,1020,1,2.07E+13,,,,,,,,,,1,
5352,PADM,medium_airport,Marshall Don Hunter Sr Airport,61.86429977,-162.026001,103,NA,US,US-AK,Marshall,yes,PADM,MLL,MDM,,https://en.wikipedia.org/wiki/Marshall_Don_Hunter_Sr._Airport,3A5,,61.8643,-162.026001,0.25,nearest_place,,,,,Marshall,AK,Wade Hampton Census Area,99585,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2270,Marshall,247000,100,2106,2,2.27E+13,,,,,,,,,,1,
5353,PADQ,medium_airport,Kodiak Airport,57.75,-152.4940033,78,NA,US,US-AK,Kodiak,yes,PADQ,ADQ,ADQ,,https://en.wikipedia.org/wiki/Kodiak_Airport,,,57.74736,-152.493739,0.96,nearest_street,86,Albatross Ave,,,Kodiak,AK,Kodiak Island Borough,99615,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2150,Kodiak Station,241210,500,1071,1,2.15E+13,,,,,,,,,,1,
5354,PADU,medium_airport,Unalaska Airport,53.90010071,-166.5440063,22,NA,US,US-AK,Unalaska,yes,PADU,DUT,DUT,,https://en.wikipedia.org/wiki/Unalaska_Airport,Dutch Harbor,,53.895821,-166.537061,0.94,nearest_street,2361,Airport Beach Rd,,,Unalaska,AK,Aleutians West Census Area,99685,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2016,Unalaska,280770,200,1059,1,2.016E+13,,,,,,,,,,1,
5355,PAED,medium_airport,Elmendorf Air Force Base,61.25099945,-149.8070068,212,NA,US,US-AK,Anchorage,no,PAED,EDF,EDF,,https://en.wikipedia.org/wiki/Elmendorf_Air_Force_Base,,,61.248969,-149.805763,0.96,nearest_street,11576,Slammer Ave,,,Elmendorf Afb,AK,Anchorage Municipality,99506,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2020,Anchorage,203000,400,1054,1,2.02E+13,"Anchorage, AK",11260,metropolitan,,,,,,,,
5356,PAEH,medium_airport,Cape Newenham LRRS Airport,58.64640045,-162.0630035,541,NA,US,US-AK,Cape Newenham,no,PAEH,EHM,EHM,,https://en.wikipedia.org/wiki/Cape_Newenham_LRRS_Airport,,,58.6464,-162.063004,0.02,nearest_place,,,,,Platinum,AK,Bethel Census Area,99651,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2050,,,100,6091,6,2.05E+13,,,,,,,,,,1,
5357,PAEI,medium_airport,Eielson Air Force Base,64.66570282,-147.102005,547,NA,US,US-AK,Fairbanks,no,PAEI,EIL,EIL,,https://en.wikipedia.org/wiki/Eielson_Air_Force_Base,,,64.665703,-147.102005,0.35,nearest_place,,,,,Eielson Afb,AK,Fairbanks North Star Borough,99702,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2090,Eielson AFB,221370,1800,2044,2,2.09E+13,"Fairbanks, AK",21820,metropolitan,,,,,,,,
5358,PAEM,medium_airport,Emmonak Airport,62.78609848,-164.4909973,13,NA,US,US-AK,Emmonak,yes,PAEM,EMK,ENM,,https://en.wikipedia.org/wiki/Emmonak_Airport,,,62.786098,-164.490997,0.43,nearest_place,,,,,Emmonak,AK,Wade Hampton Census Area,99581,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2270,Emmonak,222910,100,1087,1,2.27E+13,,,,,,,,,,1,
5359,PAEN,medium_airport,Kenai Municipal Airport,60.57310104,-151.2449951,99,NA,US,US-AK,Kenai,no,PAEN,ENA,ENA,,https://en.wikipedia.org/wiki/Kenai_Municipal_Airport,,,60.565179,-151.245999,0.93,nearest_street,352,Airport Way,,,Kenai,AK,Kenai Peninsula Borough,99611,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2122,Kenai,238420,600,3004,3,2.122E+13,,,,,,,,,,1,
5360,PAFA,large_airport,Fairbanks International Airport,64.81510162,-147.8560028,439,NA,US,US-AK,Fairbanks,yes,PAFA,FAI,FAI,,https://en.wikipedia.org/wiki/Fairbanks_International_Airport,,,64.814208,-147.852843,0.98,rooftop,3936,Float Pond Rd,,,Fairbanks,AK,Fairbanks North Star Borough,99709,US,Fairbanks North Star Borough,2019,2,2090,South Van Horn,272230,1000,1024,1,2.09E+13,"Fairbanks, AK",21820,metropolitan,,,,,,,,
5361,PAFB,medium_airport,Ladd AAF Airfield,64.83750153,-147.6139984,454,NA,US,US-AK,Fairbanks/Ft Wainwright,no,PAFB,FBK,FBK,,https://en.wikipedia.org/wiki/Ladd_Army_Airfield,,,64.840426,-147.611135,0.95,nearest_street,1000,Marks Rd,,,Fort Wainwright,AK,Fairbanks North Star Borough,99703,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2090,Fairbanks,224230,1100,1081,1,2.09E+13,"Fairbanks, AK",21820,metropolitan,,,,,,,,
5362,PAFE,medium_airport,Kake Airport,56.96139908,-133.9100037,172,NA,US,US-AK,Kake,no,PAFE,,AFE,,https://en.wikipedia.org/wiki/Kake_Airport,,,56.959695,-133.912149,0.96,nearest_street,99,Keku Rd,,,Kake,AK,Petersburg Census Area,99830,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2195,Kake,236770,100,4093,4,2.195E+13,,,,,,,,,,1,
5363,PAFM,medium_airport,Ambler Airport,67.1063,-157.856989,334,NA,US,US-AK,Ambler,no,PAFM,ABL,AFM,,https://en.wikipedia.org/wiki/Ambler_Airport,Z60,,67.1063,-157.856989,0.36,nearest_place,,,,,Ambler,AK,Northwest Arctic Borough,99786,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2188,Ambler,201970,100,3028,3,2.188E+13,,,,,,,,,,1,
5365,PAGA,medium_airport,Edward G. Pitka Sr Airport,64.73619843,-156.9369965,153,NA,US,US-AK,Galena,no,PAGA,GAL,GAL,,https://en.wikipedia.org/wiki/Edward_G._Pitka_Sr._Airport,,,64.736198,-156.936997,1,nearest_place,,,,,Galena,AK,Yukon-Koyukuk Census Area,99741,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2290,Galena,227530,300,2037,2,2.29E+13,,,,,,,,,,1,
5367,PAGK,medium_airport,Gulkana Airport,62.1548996,-145.4570007,1586,NA,US,US-AK,Gulkana,no,PAGK,GKN,GKN,,https://en.wikipedia.org/wiki/Gulkana_Airport,,,62.1549,-145.457001,0.07,nearest_place,,,,,Tazlina,AK,Valdez-Cordova Census Area,99588,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2261,Gulkana,230500,100,1353,1,2.261E+13,,,,,,,,,,1,
5368,PAGM,medium_airport,Gambell Airport,63.76679993,-171.7330017,27,NA,US,US-AK,Gambell,no,PAGM,GAM,GAM,,https://en.wikipedia.org/wiki/Gambell_Airport,,,63.7668,-171.733002,0.54,nearest_place,,,,,Gambell,AK,Nome Census Area,99742,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2180,Gambell,227640,100,6026,6,2.18E+13,,,,,,,,,,1,
5369,PAGS,medium_airport,Gustavus Airport,58.4253006,-135.7070007,35,NA,US,US-AK,Gustavus,yes,PAGS,GST,GST,,https://en.wikipedia.org/wiki/Gustavus_Airport,,,58.42018,-135.706421,0.94,nearest_street,14,Moose Ln,,,Gustavus,AK,Hoonah-Angoon Census Area,99826,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2105,Gustavus,230940,300,1291,1,2.105E+13,,,,,,,,,,1,
17619,PAHC,medium_airport,Holy Cross Airport,62.18830109,-159.7749939,70,NA,US,US-AK,Holy Cross,yes,PAHC,HCR,HCA,,https://en.wikipedia.org/wiki/Holy_Cross_Airport,4Z4,,62.188301,-159.774994,0.64,nearest_place,,,,,Holy Cross,AK,Yukon-Koyukuk Census Area,99602,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2290,Holy Cross,233030,400,1220,1,2.29E+13,,,,,,,,,,1,
5370,PAHL,medium_airport,Huslia Airport,65.69789886,-156.3509979,220,NA,US,US-AK,Huslia,no,PAHL,HSL,HLA,,https://en.wikipedia.org/wiki/Huslia_Airport,,,65.697899,-156.350998,0.36,nearest_place,,,,,Huslia,AK,Yukon-Koyukuk Census Area,99746,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2290,Huslia,234350,300,1030,1,2.29E+13,,,,,,,,,,1,
5372,PAHN,medium_airport,Haines Airport,59.24380112,-135.5240021,15,NA,US,US-AK,Haines,yes,PAHN,HNS,HNS,,https://en.wikipedia.org/wiki/Haines_Airport,,,59.243801,-135.524002,0.07,nearest_place,,,,,Haines,AK,Haines Borough,99827,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2100,,,100,1227,1,2.1E+13,,,,,,,,,,1,
5373,PAHO,medium_airport,Homer Airport,59.64559937,-151.477005,84,NA,US,US-AK,Homer,no,PAHO,HOM,HOM,,https://en.wikipedia.org/wiki/Homer_Airport,,,59.645611,-151.478569,0.99,rooftop,4228,Arctic Tern Pl,,,Homer,AK,Kenai Peninsula Borough,99603,US,Copyright © 2015 Kenai Peninsula Borough,2019,2,2122,Homer,233140,1000,2005,2,2.122E+13,,,,,,,,,,1,
5374,PAHP,medium_airport,Hooper Bay Airport,61.52389908,-166.1470032,13,NA,US,US-AK,Hooper Bay,no,PAHP,HPB,HPB,,https://en.wikipedia.org/wiki/Hooper_Bay_Airport,,,61.523899,-166.147003,0.29,nearest_place,,,,,Hooper Bay,AK,Wade Hampton Census Area,99604,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2270,Hooper Bay,233470,100,4081,4,2.27E+13,,,,,,,,,,1,
5375,PAII,medium_airport,Egegik Airport,58.1855011,-157.375,92,NA,US,US-AK,Egegik,yes,PAII,EGX,EII,,https://en.wikipedia.org/wiki/Egegik_Airport,,,58.185501,-157.375,0.24,nearest_place,,,,,Egegik,AK,Lake and Peninsula Borough,99579,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2164,Egegik,221150,100,2103,2,2.164E+13,,,,,,,,,,1,
5376,PAIK,medium_airport,Bob Baker Memorial Airport,66.97599792,-160.4369965,166,NA,US,US-AK,Kiana,no,PAIK,IAN,IAN,,https://en.wikipedia.org/wiki/Bob_Baker_Memorial_Airport,,,66.973494,-160.431933,0.95,nearest_street,99,Kozak St,,,Kiana,AK,Northwest Arctic Borough,99749,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2188,Kiana,239300,100,2189,2,2.188E+13,,,,,,,,,,1,
5377,PAIL,medium_airport,Iliamna Airport,59.75439835,-154.9109955,192,NA,US,US-AK,Iliamna,no,PAIL,ILI,ILI,,https://en.wikipedia.org/wiki/Iliamna_Airport,,,59.754398,-154.910996,0.21,nearest_place,,,,,Newhalen,AK,Lake and Peninsula Borough,99606,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2164,Iliamna,235120,100,1116,1,2.164E+13,,,,,,,,,,1,
5378,PAIM,medium_airport,Indian Mountain LRRS Airport,65.99279785,-153.7039948,1273,NA,US,US-AK,Utopia Creek,no,PAIM,UTO,UTO,,https://en.wikipedia.org/wiki/Indian_Mountain_LRRS_Airport,,,65.992798,-153.703995,0.03,nearest_place,,,,,Hughes,AK,Yukon-Koyukuk Census Area,99745,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2290,,,300,1148,1,2.29E+13,,,,,,,,,,1,
5379,PAJN,medium_airport,Juneau International Airport,58.35499954,-134.576004,21,NA,US,US-AK,Juneau,yes,PAJN,JNU,JNU,,https://en.wikipedia.org/wiki/Juneau_International_Airport,,,58.356115,-134.577721,0.98,rooftop,1873,Shell Simmons Dr,,,Juneau,AK,Juneau City and Borough,99801,US,City of Juneau,2019,2,2110,Juneau,236400,300,3008,3,2.11E+13,"Juneau, AK",27940,micropolitan,,,,,,,,
5380,PAKN,medium_airport,King Salmon Airport,58.67679977,-156.6490021,73,NA,US,US-AK,King Salmon,yes,PAKN,AKN,AKN,,https://en.wikipedia.org/wiki/King_Salmon_Airport,,,58.6768,-156.649002,0.07,nearest_place,,,,,King Salmon,AK,Bristol Bay Borough,99613,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2060,King Salmon,239630,100,1099,1,2.06E+13,,,,,,,,,,1,
5381,PAKP,medium_airport,Anaktuvuk Pass Airport,68.13359833,-151.7429962,2102,NA,US,US-AK,Anaktuvuk Pass,no,PAKP,AKP,AKP,,https://en.wikipedia.org/wiki/Anaktuvuk_Pass_Airport,,,68.133598,-151.742996,0.72,nearest_place,,,,,Anaktuvuk Pass,AK,North Slope Borough,99721,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2185,,,200,3212,3,2.185E+13,,,,,,,,,,1,
5382,PAKT,medium_airport,Ketchikan International Airport,55.35559845,-131.7140045,89,NA,US,US-AK,Ketchikan,yes,PAKT,KTN,KTN,,https://en.wikipedia.org/wiki/Ketchikan_International_Airport,,,55.361342,-131.706242,0.93,nearest_street,4610,N Tongass Hwy,,,Ketchikan,AK,Ketchikan Gateway Borough,99901,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2130,Ketchikan,238970,100,,,2130000100,"Ketchikan, AK",28540,micropolitan,,,,,,,,
5383,PAKW,medium_airport,Klawock Airport,55.57920074,-133.076004,80,NA,US,US-AK,Klawock,no,PAKW,KLW,AKW,,https://en.wikipedia.org/wiki/Klawock_Airport,,,55.579201,-133.076004,0.28,nearest_place,,,,,Klawock,AK,Prince of Wales-Hyder Census Area,99925,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2198,,,200,1001,1,2.198E+13,,,,,,,,,,1,
5385,PALU,medium_airport,Cape Lisburne LRRS Airport,68.87509918,-166.1100006,16,NA,US,US-AK,Cape Lisburne,no,PALU,LUR,LUR,,https://en.wikipedia.org/wiki/Cape_Lisburne_LRRS_Airport,,,68.875099,-166.110001,0.01,nearest_place,,,,,Point Hope,AK,North Slope Borough,99766,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2185,,,200,1055,1,2.185E+13,,,,,,,,,,1,
21844,PAMC,medium_airport,McGrath Airport,62.95289993,-155.6060028,341,NA,US,US-AK,McGrath,yes,PAMC,MCG,MCG,,https://en.wikipedia.org/wiki/McGrath_Airport,,,62.9529,-155.606003,0.42,nearest_place,,,,,Mc Grath,AK,Yukon-Koyukuk Census Area,99627,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2290,McGrath,246010,400,2206,2,2.29E+13,,,,,,,,,,1,
5386,PAMR,medium_airport,Merrill Field,61.21350098,-149.8439941,137,NA,US,US-AK,Anchorage,no,PAMR,MRI,MRI,,https://en.wikipedia.org/wiki/Merrill_Field,,,61.213814,-149.84473,0.99,rooftop,1936,Merrill Field Dr,,,Anchorage,AK,Anchorage Municipality,99501,US,Municipality of Anchorage,2019,2,2020,Anchorage,203000,901,1032,1,2.02E+13,"Anchorage, AK",11260,metropolitan,,,,,,,,
5387,PAMY,medium_airport,Mekoryuk Airport,60.37139893,-166.2709961,48,NA,US,US-AK,Mekoryuk,no,PAMY,MYU,MYU,,,,,60.371399,-166.270996,0.16,nearest_place,,,,,Mekoryuk,AK,Bethel Census Area,99630,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2050,Mekoryuk,247990,100,1167,1,2.05E+13,,,,,,,,,,1,
5388,PANC,large_airport,Ted Stevens Anchorage International Airport,61.17440033,-149.9960022,152,NA,US,US-AK,Anchorage,yes,PANC,ANC,ANC,,https://en.wikipedia.org/wiki/Ted_Stevens_Anchorage_International_Airport,,,61.181793,-149.993471,0.93,nearest_street,692,Postmark Dr,,,Anchorage,AK,Anchorage Municipality,99502,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2020,Anchorage,203000,2301,1033,1,2.02E+13,"Anchorage, AK",11260,metropolitan,,,,,,,,
16291,PANI,medium_airport,Aniak Airport,61.58160019,-159.5429993,88,NA,US,US-AK,Aniak,yes,PANI,ANI,ANI,,https://en.wikipedia.org/wiki/Aniak_Airport,,,61.583392,-159.539917,0.96,nearest_street,108,River Ave,,,Aniak,AK,Bethel Census Area,99557,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2050,Aniak,203550,300,1050,1,2.05E+13,,,,,,,,,,1,
5390,PANN,medium_airport,Nenana Municipal Airport,64.54730225,-149.0740051,362,NA,US,US-AK,Nenana,no,PANN,ENN,ENN,,https://en.wikipedia.org/wiki/Nenana_Municipal_Airport,,,64.547302,-149.074005,0.39,nearest_place,,,,,Nenana,AK,Yukon-Koyukuk Census Area,99760,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2290,Nenana,253050,200,2322,2,2.29E+13,,,,,,,,,,1,
5391,PANT,medium_airport,Annette Island Airport,55.04240036,-131.5720062,119,NA,US,US-AK,Annette,yes,PANT,ANN,ANN,,https://en.wikipedia.org/wiki/Annette_Island_Airport,,,55.0424,-131.572006,0.28,nearest_place,,,,,Metlakatla,AK,Prince of Wales-Hyder Census Area,99926,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2198,,,940100,3051,3,2.19894E+13,,,,,,,,,,1,
5392,PANV,medium_airport,Anvik Airport,62.646702,-160.190994,291,NA,US,US-AK,Anvik,yes,PANV,ANV,ANV,,https://en.wikipedia.org/wiki/Anvik_Airport,,,62.646702,-160.190994,0.61,nearest_place,,,,,Anvik,AK,Yukon-Koyukuk Census Area,99558,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2290,Anvik,203880,400,1203,1,2.29E+13,,,,,,,,,,1,
5393,PAOM,medium_airport,Nome Airport,64.5121994,-165.4450073,37,NA,US,US-AK,Nome,yes,PAOM,OME,OME,,https://en.wikipedia.org/wiki/Nome_Airport,,,64.512199,-165.445007,0.36,nearest_place,,,,,Nome,AK,Nome Census Area,99762,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2180,Nome,254920,200,2042,2,2.18E+13,,,,,,,,,,1,
5394,PAOR,medium_airport,Northway Airport,62.9612999,-141.9290009,1715,NA,US,US-AK,Northway,no,PAOR,ORT,ORT,,https://en.wikipedia.org/wiki/Northway_Airport,,,62.960931,-141.926585,0.97,nearest_street,6698,Northway Rd,,,Northway,AK,Southeast Fairbanks Census Area,99764,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2240,Northway,256220,100,1652,1,2.24E+13,,,,,,,,,,1,
5395,PAOT,medium_airport,Ralph Wien Memorial Airport,66.88469696,-162.598999,14,NA,US,US-AK,Kotzebue,yes,PAOT,OTZ,OTZ,,https://en.wikipedia.org/wiki/Ralph_Wien_Memorial_Airport,,,66.892046,-162.599425,0.93,nearest_street,207,5th Ave,,,Kotzebue,AK,Northwest Arctic Borough,99752,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2188,Kotzebue,241830,200,3011,3,2.188E+13,,,,,,,,,,1,
5396,PAPB,medium_airport,St George Airport,56.57830048,-169.6620026,125,NA,US,US-AK,St George,no,PAPB,STG,PBV,,https://en.wikipedia.org/wiki/St._George_Airport_(Alaska),,,56.5783,-169.662003,0.17,nearest_place,,,,,Saint George Island,AK,Aleutians West Census Area,99591,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2016,St. George,265800,100,1645,1,2.016E+13,,,,,,,,,,1,
