Name,Postal Code,"Poverty Percent, All Ages"
Autauga County,AL,13.8
Baldwin County,AL,9.8
Barbour County,AL,30.9
Bibb County,AL,21.8
Blount County,AL,13.2
Bullock County,AL,42.5
Butler County,AL,24.5
Calhoun County,AL,19.5
Chambers County,AL,18.7
Cherokee County,AL,16.3
Chilton County,AL,17.3
Choctaw County,AL,22.1
Clarke County,AL,22.8
Clay County,AL,17.6
Cleburne County,AL,16.0
Coffee County,AL,13.8
Colbert County,AL,13.8
Conecuh County,AL,24.4
Coosa County,AL,18.9
Covington County,AL,19.9
Crenshaw County,AL,19.5
Cullman County,AL,14.5
Dale County,AL,16.2
Dallas County,AL,31.4
DeKalb County,AL,21.3
Elmore County,AL,11.2
Escambia County,AL,23.6
Etowah County,AL,17.5
Fayette County,AL,23.5
Franklin County,AL,19.2
Geneva County,AL,21.3
Greene County,AL,30.1
Hale County,AL,25.6
Henry County,AL,17.9
Houston County,AL,16.5
Jackson County,AL,19.7
Jefferson County,AL,16.1
Lamar County,AL,17.4
Lauderdale County,AL,14.0
Lawrence County,AL,19.3
Lee County,AL,19.0
Limestone County,AL,11.4
Lowndes County,AL,25.1
Macon County,AL,30.2
Madison County,AL,11.9
Marengo County,AL,24.0
Marion County,AL,20.2
Marshall County,AL,18.3
Mobile County,AL,20.8
Monroe County,AL,21.9
Montgomery County,AL,20.1
Morgan County,AL,13.2
Perry County,AL,35.3
Pickens County,AL,23.1
Pike County,AL,23.6
Randolph County,AL,19.7
Russell County,AL,21.7
St. Clair County,AL,12.0
Shelby County,AL,8.0
Sumter County,AL,34.7
Talladega County,AL,19.3
Tallapoosa County,AL,19.7
Tuscaloosa County,AL,16.8
Walker County,AL,17.9
Washington County,AL,17.6
Wilcox County,AL,33.4
Winston County,AL,18.6
Aleutians East Borough,AK,15.5
Aleutians West Census Area,AK,10.0
Anchorage Borough,AK,9.5
Bethel Census Area,AK,32.7
Bristol Bay Borough,AK,11.2
Denali Borough,AK,6.9
Dillingham Census Area,AK,22.0
Fairbanks North Star Borough,AK,8.6
Haines Borough,AK,10.5
Hoonah-Angoon Census Area,AK,17.2
Juneau Borough,AK,7.3
Kenai Peninsula Borough,AK,12.4
Ketchikan Gateway Borough,AK,9.1
Kodiak Island Borough,AK,8.2
Kusilvak Census Area,AK,35.1
Lake and Peninsula Borough,AK,18.2
Matanuska-Susitna Borough,AK,10.4
Nome Census Area,AK,22.0
North Slope Borough,AK,11.1
Northwest Arctic Borough,AK,21.1
Petersburg Borough,AK,7.2
Prince of Wales-Hyder Census Area,AK,16.5
Sitka Borough,AK,7.7
Skagway Municipality,AK,4.3
Southeast Fairbanks Census Area,AK,13.4
Valdez-Cordova Census Area,AK,9.7
Wrangell City and Borough,AK,11.6
Yakutat Borough,AK,13.1
Yukon-Koyukuk Census Area,AK,23.7
Apache County,AZ,37.3
Cochise County,AZ,15.1
Coconino County,AZ,15.9
Gila County,AZ,20.4
Graham County,AZ,20.2
Greenlee County,AZ,10.5
La Paz County,AZ,23.7
Maricopa County,AZ,12.3
Mohave County,AZ,16.8
Navajo County,AZ,28.5
Pima County,AZ,16.2
Pinal County,AZ,12.9
Santa Cruz County,AZ,24.4
Yavapai County,AZ,13.2
Yuma County,AZ,19.5
Arkansas County,AR,17.9
Ashley County,AR,19.6
Baxter County,AR,15.1
Benton County,AR,8.6
Boone County,AR,14.8
Bradley County,AR,21.7
Calhoun County,AR,15.7
Carroll County,AR,16.1
Chicot County,AR,31.4
Clark County,AR,19.9
Clay County,AR,20.7
Cleburne County,AR,14.6
Cleveland County,AR,15.5
Columbia County,AR,22.4
Conway County,AR,17.9
Craighead County,AR,17.9
Crawford County,AR,16.0
Crittenden County,AR,19.2
Cross County,AR,18.0
Dallas County,AR,21.3
Desha County,AR,24.3
Drew County,AR,19.5
Faulkner County,AR,15.4
Franklin County,AR,18.3
Fulton County,AR,20.6
Garland County,AR,20.4
Grant County,AR,13.1
Greene County,AR,16.5
Hempstead County,AR,20.6
Hot Spring County,AR,18.7
Howard County,AR,17.3
Independence County,AR,14.5
Izard County,AR,18.7
Jackson County,AR,25.6
Jefferson County,AR,22.2
Johnson County,AR,22.2
Lafayette County,AR,22.8
Lawrence County,AR,17.7
Lee County,AR,43.0
Lincoln County,AR,27.5
Little River County,AR,16.0
Logan County,AR,18.6
Lonoke County,AR,11.9
Madison County,AR,18.4
Marion County,AR,18.7
Miller County,AR,21.9
Mississippi County,AR,25.7
Monroe County,AR,26.0
Montgomery County,AR,18.8
Nevada County,AR,21.3
Newton County,AR,17.4
Ouachita County,AR,23.3
Perry County,AR,14.7
Phillips County,AR,35.4
Pike County,AR,17.8
Poinsett County,AR,23.7
Polk County,AR,20.0
Pope County,AR,16.0
Prairie County,AR,15.8
Pulaski County,AR,16.7
Randolph County,AR,17.4
St. Francis County,AR,35.6
Saline County,AR,9.7
Scott County,AR,20.2
Searcy County,AR,24.3
Sebastian County,AR,15.6
Sevier County,AR,20.1
Sharp County,AR,20.7
Stone County,AR,20.3
Union County,AR,18.2
Van Buren County,AR,16.4
Washington County,AR,15.2
White County,AR,16.6
Woodruff County,AR,23.7
Yell County,AR,16.3
Alameda County,CA,9.0
Alpine County,CA,17.3
Amador County,CA,11.8
Butte County,CA,18.5
Calaveras County,CA,12.1
Colusa County,CA,11.0
Contra Costa County,CA,7.8
Del Norte County,CA,20.4
El Dorado County,CA,8.1
Fresno County,CA,21.3
Glenn County,CA,15.4
Humboldt County,CA,20.3
Imperial County,CA,21.4
Inyo County,CA,12.3
Kern County,CA,20.5
Kings County,CA,18.8
Lake County,CA,18.4
Lassen County,CA,15.8
Los Angeles County,CA,14.2
Madera County,CA,20.2
Marin County,CA,6.6
Mariposa County,CA,14.9
Mendocino County,CA,17.5
Merced County,CA,21.2
Modoc County,CA,19.1
Mono County,CA,9.3
Monterey County,CA,13.3
Napa County,CA,8.8
Nevada County,CA,10.3
Orange County,CA,10.5
Placer County,CA,7.1
Plumas County,CA,12.5
Riverside County,CA,12.7
Sacramento County,CA,14.3
San Benito County,CA,8.6
San Bernardino County,CA,14.9
San Diego County,CA,11.5
San Francisco County,CA,10.1
San Joaquin County,CA,14.3
San Luis Obispo County,CA,12.7
San Mateo County,CA,6.8
Santa Barbara County,CA,12.6
Santa Clara County,CA,7.3
Santa Cruz County,CA,12.2
Shasta County,CA,15.2
Sierra County,CA,13.3
Siskiyou County,CA,17.1
Solano County,CA,7.9
Sonoma County,CA,9.9
Stanislaus County,CA,15.6
Sutter County,CA,13.5
Tehama County,CA,17.0
Trinity County,CA,21.6
Tulare County,CA,22.2
Tuolumne County,CA,12.5
Ventura County,CA,9.1
Yolo County,CA,20.1
Yuba County,CA,17.2
Adams County,CO,9.2
Alamosa County,CO,19.1
Arapahoe County,CO,8.1
Archuleta County,CO,11.2
Baca County,CO,19.4
Bent County,CO,33.9
Boulder County,CO,9.7
Broomfield County,CO,4.9
Chaffee County,CO,10.9
Cheyenne County,CO,12.6
Clear Creek County,CO,7.2
Conejos County,CO,21.4
Costilla County,CO,25.2
Crowley County,CO,44.3
Custer County,CO,12.0
Delta County,CO,14.6
Denver County,CO,11.7
Dolores County,CO,12.8
Douglas County,CO,2.6
Eagle County,CO,6.7
Elbert County,CO,5.0
El Paso County,CO,9.9
Fremont County,CO,16.5
Garfield County,CO,8.4
Gilpin County,CO,6.7
Grand County,CO,7.9
Gunnison County,CO,10.4
Hinsdale County,CO,8.6
Huerfano County,CO,21.7
Jackson County,CO,13.4
Jefferson County,CO,7.0
Kiowa County,CO,13.8
Kit Carson County,CO,12.6
Lake County,CO,12.6
La Plata County,CO,9.2
Larimer County,CO,10.5
Las Animas County,CO,19.2
Lincoln County,CO,16.2
Logan County,CO,14.5
Mesa County,CO,14.4
Mineral County,CO,9.3
Moffat County,CO,12.3
Montezuma County,CO,16.3
Montrose County,CO,11.6
Morgan County,CO,12.2
Otero County,CO,20.8
Ouray County,CO,7.5
Park County,CO,8.1
Phillips County,CO,10.8
Pitkin County,CO,6.8
Prowers County,CO,21.6
Pueblo County,CO,17.2
Rio Blanco County,CO,10.8
Rio Grande County,CO,14.5
Routt County,CO,7.0
Saguache County,CO,24.6
San Juan County,CO,14.4
San Miguel County,CO,8.6
Sedgwick County,CO,14.9
Summit County,CO,6.7
Teller County,CO,7.4
Washington County,CO,13.7
Weld County,CO,10.5
Yuma County,CO,12.1
Fairfield County,CT,10.0
Hartford County,CT,11.2
Litchfield County,CT,6.9
Middlesex County,CT,6.7
New Haven County,CT,11.6
New London County,CT,9.8
Tolland County,CT,8.0
Windham County,CT,11.7
Kent County,DE,13.8
New Castle County,DE,11.6
Sussex County,DE,12.3
District of Columbia,DC,16.1
Alachua County,FL,19.8
Baker County,FL,15.4
Bay County,FL,13.4
Bradford County,FL,19.5
Brevard County,FL,11.0
Broward County,FL,12.6
Calhoun County,FL,21.3
Charlotte County,FL,11.1
Citrus County,FL,15.2
Clay County,FL,8.8
Collier County,FL,10.6
Columbia County,FL,17.3
DeSoto County,FL,26.1
Dixie County,FL,24.7
Duval County,FL,14.5
Escambia County,FL,14.7
Flagler County,FL,10.3
Franklin County,FL,22.8
Gadsden County,FL,23.6
Gilchrist County,FL,16.8
Glades County,FL,20.1
Gulf County,FL,20.3
Hamilton County,FL,27.6
Hardee County,FL,27.0
Hendry County,FL,24.0
Hernando County,FL,14.1
Highlands County,FL,20.8
Hillsborough County,FL,14.7
Holmes County,FL,23.9
Indian River County,FL,10.7
Jackson County,FL,23.5
Jefferson County,FL,17.9
Lafayette County,FL,21.0
Lake County,FL,11.5
Lee County,FL,12.1
Leon County,FL,20.7
Levy County,FL,16.1
Liberty County,FL,23.8
Madison County,FL,22.8
Manatee County,FL,10.4
Marion County,FL,15.1
Martin County,FL,10.7
Miami-Dade County,FL,16.0
Monroe County,FL,12.0
Nassau County,FL,10.4
Okaloosa County,FL,12.7
Okeechobee County,FL,21.5
Orange County,FL,15.6
Osceola County,FL,13.4
Palm Beach County,FL,12.2
Pasco County,FL,12.6
Pinellas County,FL,11.7
Polk County,FL,15.7
Putnam County,FL,18.8
St. Johns County,FL,6.6
St. Lucie County,FL,12.1
Santa Rosa County,FL,9.5
Sarasota County,FL,10.3
Seminole County,FL,9.9
Sumter County,FL,9.3
Suwannee County,FL,19.3
Taylor County,FL,21.6
Union County,FL,20.6
Volusia County,FL,13.2
Wakulla County,FL,11.9
Walton County,FL,11.4
Washington County,FL,22.8
Appling County,GA,21.9
Atkinson County,GA,26.1
Bacon County,GA,22.8
Baker County,GA,22.9
Baldwin County,GA,23.8
Banks County,GA,13.0
Barrow County,GA,9.5
Bartow County,GA,12.2
Ben Hill County,GA,26.2
Berrien County,GA,21.8
Bibb County,GA,24.7
Bleckley County,GA,18.7
Brantley County,GA,18.3
Brooks County,GA,24.5
Bryan County,GA,8.6
Bulloch County,GA,22.9
Burke County,GA,22.0
Butts County,GA,19.7
Calhoun County,GA,37.2
Camden County,GA,15.8
Candler County,GA,24.6
Carroll County,GA,16.8
Catoosa County,GA,11.9
Charlton County,GA,25.6
Chatham County,GA,14.4
Chattahoochee County,GA,17.3
Chattooga County,GA,19.5
Cherokee County,GA,7.4
Clarke County,GA,27.0
Clay County,GA,29.8
Clayton County,GA,17.6
Clinch County,GA,25.8
Cobb County,GA,9.1
Coffee County,GA,23.9
Colquitt County,GA,23.9
Columbia County,GA,7.1
Cook County,GA,24.5
Coweta County,GA,10.2
Crawford County,GA,18.5
Crisp County,GA,27.4
Dade County,GA,13.6
Dawson County,GA,8.7
Decatur County,GA,23.2
DeKalb County,GA,14.3
Dodge County,GA,26.5
Dooly County,GA,29.1
Dougherty County,GA,29.5
Douglas County,GA,12.6
Early County,GA,26.5
Echols County,GA,24.4
Effingham County,GA,8.3
Elbert County,GA,18.5
Emanuel County,GA,25.1
Evans County,GA,26.6
Fannin County,GA,16.8
Fayette County,GA,5.0
Floyd County,GA,20.7
Forsyth County,GA,5.0
Franklin County,GA,16.4
Fulton County,GA,13.5
Gilmer County,GA,17.4
Glascock County,GA,17.5
Glynn County,GA,16.6
Gordon County,GA,16.8
Grady County,GA,20.0
Greene County,GA,19.3
Gwinnett County,GA,9.2
Habersham County,GA,14.9
Hall County,GA,13.2
Hancock County,GA,30.7
Haralson County,GA,15.9
Harris County,GA,8.7
Hart County,GA,15.0
Heard County,GA,17.1
Henry County,GA,7.5
Houston County,GA,12.1
Irwin County,GA,24.3
Jackson County,GA,8.7
Jasper County,GA,15.4
Jeff Davis County,GA,20.6
Jefferson County,GA,22.3
Jenkins County,GA,31.8
Johnson County,GA,30.0
Jones County,GA,14.5
Lamar County,GA,17.3
Lanier County,GA,20.3
Laurens County,GA,24.6
Lee County,GA,12.4
Liberty County,GA,16.1
Lincoln County,GA,17.2
Long County,GA,16.8
Lowndes County,GA,25.9
Lumpkin County,GA,14.9
McDuffie County,GA,19.9
McIntosh County,GA,21.5
Macon County,GA,30.5
Madison County,GA,16.1
Marion County,GA,22.8
Meriwether County,GA,24.4
Miller County,GA,22.4
Mitchell County,GA,29.3
Monroe County,GA,13.0
Montgomery County,GA,22.1
Morgan County,GA,12.7
Murray County,GA,15.2
Muscogee County,GA,20.1
Newton County,GA,14.8
Oconee County,GA,5.7
Oglethorpe County,GA,13.8
Paulding County,GA,7.8
Peach County,GA,24.0
Pickens County,GA,11.0
Pierce County,GA,18.1
Pike County,GA,10.6
Polk County,GA,21.8
Pulaski County,GA,23.9
Putnam County,GA,16.1
Quitman County,GA,25.5
Rabun County,GA,14.2
Randolph County,GA,30.8
Richmond County,GA,21.9
Rockdale County,GA,13.2
Schley County,GA,18.1
Screven County,GA,25.9
Seminole County,GA,25.4
Spalding County,GA,17.3
Stephens County,GA,16.3
Stewart County,GA,37.9
Sumter County,GA,25.7
Talbot County,GA,24.8
Taliaferro County,GA,24.6
Tattnall County,GA,25.6
Taylor County,GA,22.9
Telfair County,GA,31.9
Terrell County,GA,27.8
Thomas County,GA,20.2
Tift County,GA,19.6
Toombs County,GA,24.9
Towns County,GA,16.0
Treutlen County,GA,26.3
Troup County,GA,20.2
Turner County,GA,27.9
Twiggs County,GA,21.3
Union County,GA,13.8
Upson County,GA,21.6
Walker County,GA,15.5
Walton County,GA,11.9
Ware County,GA,23.6
Warren County,GA,25.7
Washington County,GA,25.9
Wayne County,GA,18.6
Webster County,GA,22.7
Wheeler County,GA,39.6
White County,GA,14.1
Whitfield County,GA,14.2
Wilcox County,GA,30.8
Wilkes County,GA,20.3
Wilkinson County,GA,23.3
Worth County,GA,20.5
Hawaii County,HI,15.6
Honolulu County,HI,7.7
Kalawao County,HI,.
Kauai County,HI,8.5
Maui County,HI,8.6
Ada County,ID,9.7
Adams County,ID,13.2
Bannock County,ID,13.8
Bear Lake County,ID,10.7
Benewah County,ID,14.7
Bingham County,ID,12.0
Blaine County,ID,7.0
Boise County,ID,12.8
Bonner County,ID,14.1
Bonneville County,ID,10.6
Boundary County,ID,13.5
Butte County,ID,15.1
Camas County,ID,9.7
Canyon County,ID,11.5
Caribou County,ID,8.9
Cassia County,ID,13.0
Clark County,ID,15.5
Clearwater County,ID,15.5
Custer County,ID,14.7
Elmore County,ID,12.9
Franklin County,ID,8.8
Fremont County,ID,15.3
Gem County,ID,13.4
Gooding County,ID,13.7
Idaho County,ID,16.2
Jefferson County,ID,9.1
Jerome County,ID,12.5
Kootenai County,ID,10.3
Latah County,ID,12.7
Lemhi County,ID,14.7
Lewis County,ID,14.2
Lincoln County,ID,13.8
Madison County,ID,23.9
Minidoka County,ID,12.4
Nez Perce County,ID,13.3
Oneida County,ID,11.3
Owyhee County,ID,14.7
Payette County,ID,12.8
Power County,ID,13.7
Shoshone County,ID,18.8
Teton County,ID,7.6
Twin Falls County,ID,13.6
Valley County,ID,8.4
Washington County,ID,15.3
Adams County,IL,12.3
Alexander County,IL,27.6
Bond County,IL,13.8
Boone County,IL,9.2
Brown County,IL,14.8
Bureau County,IL,11.6
Calhoun County,IL,11.0
Carroll County,IL,11.4
Cass County,IL,12.0
Champaign County,IL,19.2
Christian County,IL,12.5
Clark County,IL,11.1
Clay County,IL,14.3
Clinton County,IL,8.2
Coles County,IL,20.0
Cook County,IL,13.8
Crawford County,IL,11.8
Cumberland County,IL,11.7
DeKalb County,IL,13.1
De Witt County,IL,11.0
Douglas County,IL,9.2
DuPage County,IL,6.6
Edgar County,IL,13.5
Edwards County,IL,11.1
Effingham County,IL,9.7
Fayette County,IL,14.9
Ford County,IL,9.7
Franklin County,IL,19.4
Fulton County,IL,14.2
Gallatin County,IL,20.5
Greene County,IL,13.9
Grundy County,IL,5.9
Hamilton County,IL,12.3
Hancock County,IL,11.1
Hardin County,IL,20.0
Henderson County,IL,11.3
Henry County,IL,11.5
Iroquois County,IL,9.9
Jackson County,IL,25.7
Jasper County,IL,10.2
Jefferson County,IL,16.3
Jersey County,IL,8.9
Jo Daviess County,IL,7.8
Johnson County,IL,12.2
Kane County,IL,8.6
Kankakee County,IL,16.2
Kendall County,IL,4.2
Knox County,IL,16.4
Lake County,IL,8.0
La Salle County,IL,13.6
Lawrence County,IL,17.5
Lee County,IL,10.1
Livingston County,IL,12.6
Logan County,IL,10.9
McDonough County,IL,21.9
McHenry County,IL,5.9
McLean County,IL,14.4
Macon County,IL,17.4
Macoupin County,IL,12.9
Madison County,IL,13.8
Marion County,IL,19.5
Marshall County,IL,9.5
Mason County,IL,14.6
Massac County,IL,17.2
Menard County,IL,9.0
Mercer County,IL,9.0
Monroe County,IL,4.3
Montgomery County,IL,14.4
Morgan County,IL,15.2
Moultrie County,IL,9.6
Ogle County,IL,8.4
Peoria County,IL,16.6
Perry County,IL,17.8
Piatt County,IL,7.3
Pike County,IL,14.1
Pope County,IL,18.6
Pulaski County,IL,19.7
Putnam County,IL,8.5
Randolph County,IL,13.8
Richland County,IL,15.0
Rock Island County,IL,14.2
St. Clair County,IL,14.8
Saline County,IL,20.3
Sangamon County,IL,13.1
Schuyler County,IL,11.4
Scott County,IL,10.3
Shelby County,IL,10.2
Stark County,IL,11.2
Stephenson County,IL,12.7
Tazewell County,IL,9.6
Union County,IL,17.4
Vermilion County,IL,19.3
Wabash County,IL,14.4
Warren County,IL,12.9
Washington County,IL,7.4
Wayne County,IL,13.8
White County,IL,12.3
Whiteside County,IL,10.5
Will County,IL,6.4
Williamson County,IL,14.4
Winnebago County,IL,16.1
Woodford County,IL,7.1
Adams County,IN,11.6
Allen County,IN,13.5
Bartholomew County,IN,10.1
Benton County,IN,11.5
Blackford County,IN,14.1
Boone County,IN,5.4
Brown County,IN,10.1
Carroll County,IN,8.8
Cass County,IN,13.5
Clark County,IN,11.2
Clay County,IN,13.8
Clinton County,IN,11.9
Crawford County,IN,15.8
Daviess County,IN,11.5
Dearborn County,IN,9.4
Decatur County,IN,11.7
De Kalb County,IN,10.1
Delaware County,IN,22.5
Dubois County,IN,7.6
Elkhart County,IN,11.5
Fayette County,IN,14.5
Floyd County,IN,9.5
Fountain County,IN,11.2
Franklin County,IN,8.6
Fulton County,IN,13.6
Gibson County,IN,10.6
Grant County,IN,19.9
Greene County,IN,14.0
Hamilton County,IN,4.2
Hancock County,IN,5.6
Harrison County,IN,9.3
Hendricks County,IN,5.9
Henry County,IN,14.4
Howard County,IN,12.3
Huntington County,IN,10.1
Jackson County,IN,12.0
Jasper County,IN,9.4
Jay County,IN,13.0
Jefferson County,IN,15.5
Jennings County,IN,14.8
Johnson County,IN,7.7
Knox County,IN,15.7
Kosciusko County,IN,9.0
Lagrange County,IN,7.8
Lake County,IN,15.7
La Porte County,IN,15.7
Lawrence County,IN,12.5
Madison County,IN,17.0
Marion County,IN,17.2
Marshall County,IN,11.5
Martin County,IN,11.8
Miami County,IN,16.1
Monroe County,IN,21.4
Montgomery County,IN,10.8
Morgan County,IN,10.6
Newton County,IN,10.3
Noble County,IN,9.1
Ohio County,IN,9.7
Orange County,IN,15.6
Owen County,IN,12.6
Parke County,IN,15.7
Perry County,IN,12.4
Pike County,IN,11.1
Porter County,IN,8.9
Posey County,IN,9.2
Pulaski County,IN,12.2
Putnam County,IN,12.2
Randolph County,IN,13.6
Ripley County,IN,11.1
Rush County,IN,10.7
St. Joseph County,IN,13.5
Scott County,IN,15.5
Shelby County,IN,11.6
Spencer County,IN,9.2
Starke County,IN,11.0
Steuben County,IN,11.0
Sullivan County,IN,13.7
Switzerland County,IN,17.7
Tippecanoe County,IN,18.1
Tipton County,IN,8.4
Union County,IN,10.7
Vanderburgh County,IN,15.1
Vermillion County,IN,15.2
Vigo County,IN,19.2
Wabash County,IN,12.4
Warren County,IN,9.8
Warrick County,IN,7.1
Washington County,IN,13.4
Wayne County,IN,16.0
Wells County,IN,8.5
White County,IN,8.5
Whitley County,IN,7.1
Adair County,IA,9.7
Adams County,IA,12.7
Allamakee County,IA,11.7
Appanoose County,IA,15.2
Audubon County,IA,11.0
Benton County,IA,7.9
Black Hawk County,IA,16.3
Boone County,IA,8.8
Bremer County,IA,6.6
Buchanan County,IA,10.6
Buena Vista County,IA,10.2
Butler County,IA,9.0
Calhoun County,IA,11.3
Carroll County,IA,8.0
Cass County,IA,12.6
Cedar County,IA,7.6
Cerro Gordo County,IA,10.4
Cherokee County,IA,9.4
Chickasaw County,IA,8.6
Clarke County,IA,11.2
Clay County,IA,9.7
Clayton County,IA,9.4
Clinton County,IA,12.5
Crawford County,IA,12.3
Dallas County,IA,5.2
Davis County,IA,12.7
Decatur County,IA,20.3
Delaware County,IA,9.0
Des Moines County,IA,12.7
Dickinson County,IA,7.8
Dubuque County,IA,11.3
Emmet County,IA,11.2
Fayette County,IA,11.7
Floyd County,IA,11.4
Franklin County,IA,9.9
Fremont County,IA,10.0
Greene County,IA,12.1
Grundy County,IA,6.8
Guthrie County,IA,11.4
Hamilton County,IA,8.4
Hancock County,IA,8.5
Hardin County,IA,9.9
Harrison County,IA,9.7
Henry County,IA,11.0
Howard County,IA,10.2
Humboldt County,IA,9.7
Ida County,IA,10.3
Iowa County,IA,7.4
Jackson County,IA,11.1
Jasper County,IA,10.2
Jefferson County,IA,16.3
Johnson County,IA,15.8
Jones County,IA,11.4
Keokuk County,IA,12.5
Kossuth County,IA,10.1
Lee County,IA,14.6
Linn County,IA,9.4
Louisa County,IA,10.7
Lucas County,IA,15.1
Lyon County,IA,6.9
Madison County,IA,7.0
Mahaska County,IA,12.4
Marion County,IA,9.2
Marshall County,IA,11.3
Mills County,IA,8.6
Mitchell County,IA,9.2
Monona County,IA,13.9
Monroe County,IA,11.6
Montgomery County,IA,13.9
Muscatine County,IA,11.8
O'Brien County,IA,9.1
Osceola County,IA,9.4
Page County,IA,13.5
Palo Alto County,IA,9.7
Plymouth County,IA,8.1
Pocahontas County,IA,11.1
Polk County,IA,9.9
Pottawattamie County,IA,11.8
Poweshiek County,IA,10.6
Ringgold County,IA,14.3
Sac County,IA,11.2
Scott County,IA,12.4
Shelby County,IA,7.9
Sioux County,IA,6.3
Story County,IA,18.9
Tama County,IA,11.4
Taylor County,IA,12.8
Union County,IA,13.4
Van Buren County,IA,13.1
Wapello County,IA,14.7
Warren County,IA,7.1
Washington County,IA,8.8
Wayne County,IA,13.0
Webster County,IA,13.7
Winnebago County,IA,9.1
Winneshiek County,IA,9.8
Woodbury County,IA,13.8
Worth County,IA,9.8
Wright County,IA,10.6
Allen County,KS,18.9
Anderson County,KS,13.1
Atchison County,KS,15.5
Barber County,KS,12.8
Barton County,KS,14.5
Bourbon County,KS,16.0
Brown County,KS,13.3
Butler County,KS,9.6
Chase County,KS,10.3
Chautauqua County,KS,17.2
Cherokee County,KS,16.5
Cheyenne County,KS,12.4
Clark County,KS,13.1
Clay County,KS,10.7
Cloud County,KS,16.0
Coffey County,KS,10.7
Comanche County,KS,11.2
Cowley County,KS,15.4
Crawford County,KS,17.7
Decatur County,KS,13.6
Dickinson County,KS,10.9
Doniphan County,KS,13.3
Douglas County,KS,17.0
Edwards County,KS,11.3
Elk County,KS,17.7
Ellis County,KS,12.0
Ellsworth County,KS,11.9
Finney County,KS,13.2
Ford County,KS,11.6
Franklin County,KS,9.3
Geary County,KS,10.3
Gove County,KS,11.4
Graham County,KS,12.5
Grant County,KS,10.9
Gray County,KS,7.5
Greeley County,KS,11.3
Greenwood County,KS,14.5
Hamilton County,KS,14.1
Harper County,KS,14.3
Harvey County,KS,10.4
Haskell County,KS,10.5
Hodgeman County,KS,11.7
Jackson County,KS,10.5
Jefferson County,KS,7.6
Jewell County,KS,15.0
Johnson County,KS,5.5
Kearny County,KS,12.4
Kingman County,KS,11.1
Kiowa County,KS,12.1
Labette County,KS,16.0
Lane County,KS,10.3
Leavenworth County,KS,10.6
Lincoln County,KS,12.7
Linn County,KS,12.9
Logan County,KS,9.1
Lyon County,KS,16.1
McPherson County,KS,10.5
Marion County,KS,9.6
Marshall County,KS,11.2
Meade County,KS,9.4
Miami County,KS,7.9
Mitchell County,KS,11.4
Montgomery County,KS,19.5
Morris County,KS,11.4
Morton County,KS,11.1
Nemaha County,KS,9.1
Neosho County,KS,14.8
Ness County,KS,10.5
Norton County,KS,14.6
Osage County,KS,12.5
Osborne County,KS,12.9
Ottawa County,KS,10.2
Pawnee County,KS,14.2
Phillips County,KS,12.4
Pottawatomie County,KS,8.0
Pratt County,KS,12.0
Rawlins County,KS,12.9
Reno County,KS,12.3
Republic County,KS,11.0
Rice County,KS,13.8
Riley County,KS,20.7
Rooks County,KS,11.2
Rush County,KS,13.8
Russell County,KS,13.7
Saline County,KS,11.0
Scott County,KS,7.8
Sedgwick County,KS,13.4
Seward County,KS,15.1
Shawnee County,KS,13.9
Sheridan County,KS,11.9
Sherman County,KS,13.7
Smith County,KS,12.2
Stafford County,KS,13.4
Stanton County,KS,11.5
Stevens County,KS,10.7
Sumner County,KS,13.4
Thomas County,KS,9.9
Trego County,KS,11.6
Wabaunsee County,KS,8.1
Wallace County,KS,13.1
Washington County,KS,12.4
Wichita County,KS,11.9
Wilson County,KS,15.4
Woodson County,KS,16.1
Wyandotte County,KS,18.4
Adair County,KY,23.8
Allen County,KY,17.3
Anderson County,KY,10.0
Ballard County,KY,15.3
Barren County,KY,19.2
Bath County,KY,20.4
Bell County,KY,31.3
Boone County,KY,6.4
Bourbon County,KY,16.5
Boyd County,KY,18.3
Boyle County,KY,14.8
Bracken County,KY,11.3
Breathitt County,KY,32.5
Breckinridge County,KY,18.8
Bullitt County,KY,9.5
Butler County,KY,17.7
Caldwell County,KY,18.0
Calloway County,KY,21.3
Campbell County,KY,13.1
Carlisle County,KY,17.2
Carroll County,KY,15.6
Carter County,KY,31.1
Casey County,KY,26.0
Christian County,KY,18.2
Clark County,KY,16.0
Clay County,KY,38.2
Clinton County,KY,25.7
Crittenden County,KY,17.8
Cumberland County,KY,23.3
Daviess County,KY,15.3
Edmonson County,KY,17.4
Elliott County,KY,25.2
Estill County,KY,25.3
Fayette County,KY,14.6
Fleming County,KY,18.6
Floyd County,KY,34.2
Franklin County,KY,12.9
Fulton County,KY,30.2
Gallatin County,KY,15.1
Garrard County,KY,16.1
Grant County,KY,13.9
Graves County,KY,16.9
Grayson County,KY,21.4
Green County,KY,18.0
Greenup County,KY,16.6
Hancock County,KY,12.0
Hardin County,KY,13.4
Harlan County,KY,33.4
Harrison County,KY,15.5
Hart County,KY,22.2
Henderson County,KY,16.3
Henry County,KY,14.3
Hickman County,KY,17.7
Hopkins County,KY,18.1
Jackson County,KY,26.5
Jefferson County,KY,15.4
Jessamine County,KY,12.6
Johnson County,KY,25.0
Kenton County,KY,10.4
Knott County,KY,32.1
Knox County,KY,31.9
Larue County,KY,15.3
Laurel County,KY,20.6
Lawrence County,KY,25.5
Lee County,KY,34.4
Leslie County,KY,30.8
Letcher County,KY,31.1
Lewis County,KY,25.2
