id,ident,type,name,Latitude,Longitude,elevation_ft,continent,iso_country,State,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
7994,16K,seaplane_base,Port Alice Seaplane Base,55.803,-133.597,0,NA,US,US-AK,Port Alice,no,16K,PTC,16K,,,,
8029,16Z,seaplane_base,Mc Grath Seaplane Base,62.95800018,-155.5930023,325,NA,US,US-AK,Mcgrath,no,16Z,,16Z,,,,
8030,17AK,heliport,Ketchikan /Temsco H/ Heliport,55.38299942,-131.7350006,20,NA,US,US-AK,Ketchikan,no,17AK,,17AK,,,,
325112,18AA,small_airport,18 Meadows Aerodrome,59.313222,-135.72322,89,NA,US,US-AK,Haines,no,18AA,,18AA,,,,
8079,18AK,heliport,North Douglas Heliport,58.3321991,-134.496994,25,NA,US,US-AK,Juneau,no,18AK,,18AK,,,,
8126,19AK,small_airport,Icy Bay Airport,59.96900177,-141.6620026,50,NA,US,US-AK,Icy Bay,no,19AK,ICY,19AK,,https://en.wikipedia.org/wiki/Icy_Bay_Airport,,
8159,19P,seaplane_base,Port Protection Seaplane Base,56.3288002,-133.6100006,0,NA,US,US-AK,Port Protection,yes,19P,PPV,19P,,https://en.wikipedia.org/wiki/Port_Protection_Seaplane_Base,,
8175,1AK0,heliport,Craig Cg Heliport,55.47520065,-133.1459961,20,NA,US,US-AK,Craig,no,1AK0,,1AK0,,,,
8176,1AK1,small_airport,Crevice Creek Airport,67.37290192,-152.0160065,840,NA,US,US-AK,Crevice Creek,no,1AK1,,1AK1,,,,
8177,1AK2,small_airport,Crosswind Lake Airport,62.40090179,-146.0130005,2125,NA,US,US-AK,Crosswind Lake,no,1AK2,,1AK2,,,,
8179,1AK4,small_airport,Kenai River Airpark,60.52420044,-150.7519989,200,NA,US,US-AK,Soldotna,no,1AK4,,1AK4,,,,
8180,1AK5,heliport,Offshore Systems-Kenai Heliport,60.73970032,-151.3079987,150,NA,US,US-AK,Nikiski,no,1AK5,,1AK5,,,,
8181,1AK6,small_airport,Talachulitna River Airport,61.85279846,-151.4080048,282,NA,US,US-AK,Sketna,no,1AK6,,1AK6,,,,
8182,1AK7,heliport,Valdez Hospital Heliport,61.13660049,-146.3450012,96,NA,US,US-AK,Valdez,no,1AK7,,1AK7,,,,
8183,1AK8,small_airport,Talaheim Airport,61.67689896,-151.3869934,610,NA,US,US-AK,Skwentna,no,1AK8,,1AK8,,,,
8184,1AK9,closed,Tundra Copter Heliport,64.815399,-147.862145,434,NA,US,US-AK,Fairbanks,no,,,,,,1AK9,
8383,1KC,small_airport,Kalakaket Creek AS Airport,64.4166257,-156.8203926,1598,NA,US,US-AK,Kalakaket Creek,no,1KC,KKK,1KC,,,,
8775,1Z9,seaplane_base,Ellamar Seaplane Base,60.893818,-146.704038,0,NA,US,US-AK,Ellamar,no,,ELW,1Z9,,,,
45274,20AK,small_airport,Owen Field,61.503789,-149.896044,150,NA,US,US-AK,Big Lake,no,20AK,,20AK,,,,
8792,20K,small_airport,Quail Creek Airport,65.35399628,-149.7619934,1550,NA,US,US-AK,Quail Creek,no,20K,,20K,,,,
8821,21AK,small_airport,Montana Creek Airport,62.07170105,-150.0690002,250,NA,US,US-AK,Talkeetna,no,21AK,,21AK,,,,
8873,22AK,closed,Helmericks Airport,70.428338,-150.402896,7,NA,US,US-AK,Deadhorse,no,,,,,,22AK,
8927,23AK,small_airport,Yuknis Airport,61.59410095,-149.3110046,340,NA,US,US-AK,Wasilla,no,23AK,,23AK,,,,
8984,24AK,small_airport,Toad Lake Strip,61.61569977,-149.7070007,100,NA,US,US-AK,Meadow Lakes,no,24AK,,24AK,,,,
318189,25AA,small_airport,Skyflight Airport,64.928467,-147.879778,89,NA,US,US-AK,Fairbanks,no,25AA,,25AA,,,,
9039,25AK,small_airport,Honeybee Lake Aero Park Airport,61.71220016,-150.0630035,200,NA,US,US-AK,Willow,no,25AK,,25AK,,,,
9135,27AK,heliport,Pad-66 Heliport,70.34300232,-149.5890045,60,NA,US,US-AK,Kuparuk,no,27AK,,27AK,,,,
9186,28AK,small_airport,Gates Ranch Airport,61.808899,-147.858993,1875,NA,US,US-AK,Glacier View,no,28AK,,28AK,,,"Farrars Airport, Sutton",
9233,29A,seaplane_base,Island Lake Seaplane Base,61.62889862,-149.6179962,370,NA,US,US-AK,Wasilla,no,29A,,29A,,,,
9234,29AK,small_airport,Remington Field,64.04959869,-145.4190063,1250,NA,US,US-AK,Delta Junction,no,29AK,,29AK,,,,
9283,2A4,closed,Vor Lake Waterlane Seaplane Base,66.888454,-151.494856,631,NA,US,US-AK,Bettles,no,,,,,,2A4,
9287,2AK,small_airport,Lime Village Airport,61.35910034,-155.4400024,552,NA,US,US-AK,Lime Village,no,2AK,LVD,2AK,,,23AK,
9288,2AK0,small_airport,Mac Kenzie Country Airpark,61.25590134,-149.9750061,120,NA,US,US-AK,Point Mackenzie,no,2AK0,,2AK0,,,,
9289,2AK1,small_airport,Blair Lake Airport,64.36370087,-147.3639984,910,NA,US,US-AK,Fairbanks /Ft Wainwright/,no,2AK1,,2AK1,,,,
9290,2AK2,small_airport,Clear Creek Airport,64.45349884,-147.5630035,660,NA,US,US-AK,Fairbanks /Ft Wainwright/,no,2AK2,,2AK2,,,,
9291,2AK3,heliport,Five Finger CG Heliport,57.269843,-133.630371,48,NA,US,US-AK,Five Finger,no,2AK3,,2AK3,,,FIV,
9292,2AK4,small_airport,Bootleggers Cove Airport,59.470001,-151.51199,45,NA,US,US-AK,Homer,no,2AK4,,2AK4,,,Oyster Cove,
9293,2AK5,small_airport,Johnstone Point Airport,60.4817009,-146.5839996,15,NA,US,US-AK,Hinchinbrook,no,PAJO,,2AK5,,,,
9294,2AK6,small_airport,Hog River Airport,66.2161026,-155.6690063,534,NA,US,US-AK,Hogatza,no,2AK6,HGZ,2AK6,,,,
9295,2AK7,small_airport,Bald Mountain Airport,62.30739975,-149.7519989,3600,NA,US,US-AK,Talkeetna,no,2AK7,,2AK7,,,,
9296,2AK8,small_airport,Icy Cape Afs Airport,70.29250336,-161.9029999,48,NA,US,US-AK,Icy Cape,no,2AK8,,2AK8,,,,
9297,2AK9,small_airport,Independence Creek Airport,65.67350006,-162.4640045,250,NA,US,US-AK,Independence Creek,no,2AK9,,2AK9,,,,
9366,2D3,seaplane_base,Gooding Lake Seaplane Base,61.62770081,-149.2389984,500,NA,US,US-AK,Palmer,no,2D3,,2D3,,,,
9485,2K5,small_airport,Telida Airport,63.39390182,-153.2689972,650,NA,US,US-AK,Telida,no,2K5,TLF,2K5,,https://en.wikipedia.org/wiki/Telida_Airport,,
9684,2OK,heliport,Alaska Regional Hospital Heliport,61.2118988,-149.8269958,137,NA,US,US-AK,Anchorage,no,2OK,,2OK,,,,
9738,2R3,seaplane_base,Island Lake Seaplane Base,60.70439911,-151.3110046,140,NA,US,US-AK,Kenai,no,2R3,,2R3,,,,
325325,2VI2,seaplane_base,Redoubt View Seaplane Base,60.419038,-152.354894,385,NA,US,US-AK,Kenai,no,2VI2,,2VI2,,,,
9879,2X2,seaplane_base,Willow Seaplane Base,61.74399948,-150.0590057,200,NA,US,US-AK,Willow,no,2X2,,2X2,,,,
9901,2Y3,seaplane_base,Yakutat Seaplane Base,59.5625,-139.7409973,,NA,US,US-AK,Yakutat,no,2Y3,,2Y3,,,,
9902,2Z1,seaplane_base,Entrance Island Seaplane Base,57.412201,-133.43848,0,NA,US,US-AK,Entrance Island,no,,HBH,,,,2Z1,
9903,2Z2,small_airport,Eureka Creek Airport,65.17590332,-150.220993,700,NA,US,US-AK,Eureka Creek,no,2Z2,,2Z2,,,,
9904,2Z3,small_airport,Eva Creek Airport,64.04199982,-148.8630066,2817,NA,US,US-AK,Eva Creek,no,2Z3,,2Z3,,,,
9905,2Z5,seaplane_base,Chena River Seaplane Base,64.832901,-147.8480072,440,NA,US,US-AK,Fairbanks,no,2Z5,,2Z5,,,,
9906,2Z6,seaplane_base,False Island Seaplane Base,57.53219986,-135.2129974,,NA,US,US-AK,False Island,no,2Z6,FAK,2Z6,,,,
9907,30AK,small_airport,Doyle Estates Airport,60.50279999,-151.2599945,50,NA,US,US-AK,Kenai,no,30AK,,30AK,,,,
9949,31AK,small_airport,Dalrymple's Airport,64.832901,-147.4250031,450,NA,US,US-AK,Fairbanks,no,31AK,,31AK,,,,
9990,32AK,small_airport,Hardrock Field,64.90930176,-147.9140015,664,NA,US,US-AK,Fairbanks,no,32AK,,32AK,,,,
10033,33AK,small_airport,Nugget Bench Airport,62.51729965,-150.9450073,2010,NA,US,US-AK,Nugget Bench,no,33AK,,33AK,,,,
10078,34AK,small_airport,Cardwell Strip,61.625,-149.2890015,425,NA,US,US-AK,Palmer,no,34AK,,34AK,,,,
10124,35AK,heliport,Seal Island Heliport,70.49220276,-148.6950073,30,NA,US,US-AK,Deadhorse,no,35AK,,35AK,,,,
10172,36AK,small_airport,Flyway Farm Airstrip,61.34329987,-150.0670013,150,NA,US,US-AK,Wasilla,no,36AK,,36AK,,,,
10183,36H,seaplane_base,Squaw Harbor Seaplane Base,55.23329926,-160.552002,0,NA,US,US-AK,Squaw Harbor,no,36H,,36H,,,,
10263,38AK,small_airport,Mels Airport,61.5625,-149.6679993,340,NA,US,US-AK,Wasilla,no,38AK,,38AK,,,,
10313,39AK,small_airport,Gilmore Strip,61.58599854,-149.2359924,340,NA,US,US-AK,Palmer,no,39AK,,39AK,,,,
10359,3A3,seaplane_base,Seymour Lake Seaplane Base,61.61349869,-149.6660004,320,NA,US,US-AK,Wasilla,no,3A3,,3A3,,,,
323193,3AA3,heliport,CVTC Field Heliport,61.13,-146.3705554,50,NA,US,US-AK,Valdez,no,3AA3,,3AA3,,,,
10361,3AK0,closed,Little Niklason Lake Seaplane Base,61.626499,-149.287994,380,NA,US,US-AK,Wasilla,no,,,,,,3AK0,
10362,3AK1,small_airport,Deshka Landing Airport,61.71879959,-150.1959991,110,NA,US,US-AK,Willow,no,3AK1,,3AK1,,,,
10363,3AK2,small_airport,Niklason Lake Estates Airport,61.62749863,-149.2870026,410,NA,US,US-AK,Palmer,no,3AK2,,3AK2,,,,
10364,3AK3,small_airport,Songlo Vista Airport,62.56380081,-150.220993,825,NA,US,US-AK,Talkeetna,no,3AK3,,3AK3,,,,
10365,3AK4,small_airport,Johnson Airport,60.63249969,-151.3399963,102,NA,US,US-AK,Kenai,no,3AK4,,3AK4,,,,
10366,3AK5,small_airport,Drift River Airport,60.58890152,-152.1620026,30,NA,US,US-AK,Kenai,no,3AK5,DRF,3AK5,,,,
10367,3AK6,small_airport,B & B Boys Ranch Airport,61.59289932,-149.302002,300,NA,US,US-AK,Palmer,no,3AK6,,3AK6,,,,
10368,3AK7,small_airport,Laub Airport,61.7655983,-150.3390045,100,NA,US,US-AK,Willow,no,3AK7,,3AK7,,,,
10369,3AK8,small_airport,Boisselle's Strip,61.66249847,-149.3919983,400,NA,US,US-AK,Wasilla,no,3AK8,,3AK8,,,,
45261,3AK9,small_airport,River John Airport,61.941944,-151.036111,170,NA,US,US-AK,Skwentna,no,3AK9,,3AK9,,,,
10402,3C3,seaplane_base,Campbell Lake Seaplane Base,61.133099,-149.942003,20,NA,US,US-AK,Anchorage,no,33AA,,33AA,,,3C3,
10482,3H3,seaplane_base,Cottonwood Lake Seaplane Base,61.59759903,-149.3159943,300,NA,US,US-AK,Wasilla,no,3H3,,3H3,,,,
10535,3K0,closed,Skilak BLM Helistop,60.480296,-150.455017,275,NA,US,US-AK,Skilak Guard Station,no,,,,,,"3K0, AK30",
10537,3K9,seaplane_base,Upper Wasilla Lake Seaplane Base,61.58869934,-149.3849945,330,NA,US,US-AK,Wasilla,no,3K9,,3K9,,,,
10784,3T4,small_airport,Tetlin Airport,63.125,-142.5180054,1663,NA,US,US-AK,Tetlin,no,3T4,,3T4,,,,
10904,3Z1,small_airport,Feather River Airport,64.83170319,-166.1320038,325,NA,US,US-AK,Feather River,no,3Z1,,3Z1,,,,
10905,3Z8,seaplane_base,Golden Horn Lodge Seaplane Base,59.74700165,-158.875,91,NA,US,US-AK,Golden Horn Lodge,no,3Z8,GDH,3Z8,,,,
10906,3Z9,seaplane_base,Haines Seaplane Base,59.23500061,-135.4409943,,NA,US,US-AK,Haines,no,3Z9,,3Z9,,,,
10907,40AK,small_airport,Sterling Air Park,60.55530167,-150.8419952,90,NA,US,US-AK,Sterling,no,40AK,,40AK,,,,
10945,41AK,small_airport,Settlers Bay Airstrip,61.50090027,-149.6396942,75,NA,US,US-AK,Wasilla,no,41AK,,41AK,,,,
10982,42AK,closed,Wicker Airport,61.568505,-149.484491,314,NA,US,US-AK,Wasilla,no,,,,,,42AK,
11023,43AK,small_airport,Kalmbach Airport,61.60079956,-149.5789948,445,NA,US,US-AK,Wasilla,no,43AK,,43AK,,,,
11063,44AK,small_airport,West Papoose Lake Airpark,61.53340149,-150.102005,230,NA,US,US-AK,Wasilla,no,44AK,,44AK,,,,
318193,45AA,small_airport,Davidson Strip Airport,62.1628972,-150.5396083,383,NA,US,US-AK,Talkeetna,no,45AA,,45AA,,,,
11107,45AK,small_airport,Cherokee Airport,63.96179962,-145.4700012,1300,NA,US,US-AK,Delta Junction,no,45AK,,45AK,,,,
11148,46AK,small_airport,Bear Cove Farm Airport,59.73830032,-151.0299988,115,NA,US,US-AK,Homer,no,46AK,,46AK,,,,
11189,47AK,small_airport,Highland Airport,61.29249954,-149.5330048,650,NA,US,US-AK,Eagle River,no,47AK,,47AK,,,,
11230,48AK,small_airport,Castle Mountain Airstrip,61.79604127,-148.4941614,1010,NA,US,US-AK,Sutton/Chickaloon,no,48AK,,48AK,,,,
11273,49AK,small_airport,Secluded Lake Airport,62.0245018,-149.977005,300,NA,US,US-AK,Talkeetna,no,49AK,,49AK,,,,
11318,4A2,small_airport,Atmautluak Airport,60.866699,-162.272995,17,NA,US,US-AK,Atmautluak,yes,,ATT,4A2,,https://en.wikipedia.org/wiki/Atmautluak_Airport,,
11319,4A3,seaplane_base,Lake Lucille Seaplane Base,61.57460022,-149.4730072,300,NA,US,US-AK,Wasilla,no,4A3,,4A3,,,,
46295,4AA4,heliport,South Peninsula Hospital Heliport,59.652261,-151.55,370,NA,US,US-AK,Homer,no,4AA4,,4AA4,,,,
11320,4AK,small_airport,Livengood Camp Airport,65.467,-148.6534,425,NA,US,US-AK,Livengood,no,4AK,LIV,4AK,,,,
11321,4AK0,seaplane_base,Niklason Lake Seaplane Base,61.62919998,-149.2709961,380,NA,US,US-AK,Wasilla,no,4AK0,,4AK0,,,,
11322,4AK1,small_airport,Inigok Airport,70.00379944,-153.0780029,192,NA,US,US-AK,Deadhorse,no,4AK1,,4AK1,,,,
11323,4AK2,small_airport,St John Homestead Airport,61.55799866,-149.423996,250,NA,US,US-AK,Wasilla,no,4AK2,,4AK2,,,,
11324,4AK3,small_airport,Long Lake Airport,61.37789917,-143.326004,1500,NA,US,US-AK,Long Lake,no,4AK3,,4AK3,,,,
11325,4AK5,small_airport,Mankomen Lake Airport,62.98989868,-144.4799957,3050,NA,US,US-AK,Mankomen Lake,no,4AK5,,4AK5,,,,
11326,4AK6,small_airport,Wolf Lake Airport,61.64099884,-149.2890015,572,NA,US,US-AK,Palmer,no,4AK6,,4AK6,,,,
11327,4AK7,small_airport,Aleknagik Mission Lodge Airport,59.28089905,-158.5970001,150,NA,US,US-AK,Aleknagik,no,4AK7,,4AK7,,,,
11328,4AK8,small_airport,Napaimute Pioneer Airfield,61.53630066,-158.7389984,200,NA,US,US-AK,Napaimute,no,4AK8,,4AK8,,,,
11329,4AK9,small_airport,Tibbetts Airport,58.73429871,-157.0070038,50,NA,US,US-AK,Naknek,no,4AK9,,4AK9,,,,
11485,4K0,small_airport,Pedro Bay Airport,59.78960037,-154.1239929,45,NA,US,US-AK,Pedro Bay,no,4K0,PDB,4K0,,,,
11487,4K5,small_airport,Ouzinkie Airport,57.925362,-152.496715,55,NA,US,US-AK,Ouzinkie,yes,,KOZ,4K5,,https://en.wikipedia.org/wiki/Ouzinkie_Airport,,
11488,4KA,small_airport,Tununak Airport,60.57550049,-165.2720032,14,NA,US,US-AK,Tununak,no,4KA,TNK,4KA,,https://en.wikipedia.org/wiki/Tununak_Airport,,
11818,4Z2,small_airport,Upper Hannum Creek Airport,65.9048996,-163.3289948,1300,NA,US,US-AK,Hannum Creek,no,4Z2,,4Z2,,,,
11819,4Z5,small_airport,Horsfeld Airport,62.00719833,-141.1809998,3300,NA,US,US-AK,Horsfeld,no,4Z5,,4Z5,,,,
11820,4Z7,seaplane_base,Hyder Seaplane Base,55.903324,-130.009975,,NA,US,US-AK,Hyder,yes,,WHD,4Z7,,https://en.wikipedia.org/wiki/Hyder_Seaplane_Base,,
11821,4Z9,small_airport,Jakolof Bay Airport,59.45220184,-151.5220032,5,NA,US,US-AK,Jakolof Bay,no,4Z9,,4Z9,,,,
45275,50AK,small_airport,Robin'S Landing,61.380461,-150.11625,95,NA,US,US-AK,Point Mackenzie,no,50AK,,50AK,,,,
45276,51AK,small_airport,Birch Creek Landing,62.242289,-150.065814,400,NA,US,US-AK,Talkeetna,no,51AK,,51AK,,,,
11900,51Z,small_airport,Minto Al Wright Airport,65.1437,-149.369995,460,NA,US,US-AK,Minto,no,,MNT,51Z,,https://en.wikipedia.org/wiki/Minto_Airport,,
11901,52AK,closed,Basquo Airport,60.505798,-151.246003,63,NA,US,US-AK,Kenai,no,,,,,,52AK,
11945,52Z,seaplane_base,Summit Lake Seaplane Base,60.64110184,-149.496994,1300,NA,US,US-AK,Moose Pass,no,52Z,,52Z,,,,
11946,53AK,small_airport,Lakewood Airstrip,60.53450012,-150.9389954,110,NA,US,US-AK,Sterling,no,53AK,,53AK,,,,
11989,54AK,seaplane_base,Kalmbach Lake Seaplane Base,61.60710144,-149.5740051,400,NA,US,US-AK,Wasilla,no,54AK,,54AK,,,,
12031,55AK,small_airport,Lawrence Airstrip,61.49580002,-149.6990051,200,NA,US,US-AK,Wasilla,no,55AK,,55AK,,,,
12074,56AK,small_airport,Bechtol Field,61.57500076,-149.6060028,300,NA,US,US-AK,Wasilla,no,56AK,,56AK,,,,
12114,57A,seaplane_base,Tokeen Seaplane Base,55.93709946,-133.3269959,,NA,US,US-AK,Tokeen,no,57A,TKI,57A,,https://en.wikipedia.org/wiki/Tokeen_Seaplane_Base,,
12115,57AK,seaplane_base,Lost Lake SPB Seaplane Base,61.33499908,-149.996994,120,NA,US,US-AK,Wasilla,no,57AK,,57AK,,,,
12158,58A,seaplane_base,Tolsona Lake Seaplane Base,62.11339951,-146.0410004,2000,NA,US,US-AK,Tolsona Lake,no,58A,,58A,,,,
12159,58AK,small_airport,Fairview East Airport,61.55260086,-149.3399963,100,NA,US,US-AK,Wasilla,no,58AK,,58AK,,,,
12199,59AK,small_airport,Penderosa Airport,61.63180161,-149.3410034,520,NA,US,US-AK,Wasilla,no,59AK,,59AK,,,,
12243,5A8,medium_airport,Aleknagik / New Airport,59.2826004,-158.6179962,66,NA,US,US-AK,Aleknagik,yes,5A8,WKK,5A8,,https://en.wikipedia.org/wiki/Aleknagik_Airport,,
12244,5AK,seaplane_base,Tazlina /Smokey Lake/ Seaplane Base,62.06340027,-146.4490051,2407,NA,US,US-AK,Tazlina,no,5AK,,5AK,,,,
12245,5AK0,small_airport,Trading Bay Production Airport,60.81549835,-151.798996,200,NA,US,US-AK,Trading Bay,no,5AK0,,5AK0,,,,
12246,5AK1,heliport,Beluga Heliport,61.18080139,-151.0410004,75,NA,US,US-AK,Tyonek,no,5AK1,,5AK1,,,,
12247,5AK2,small_airport,Howards Airport,64.73069763,-147.3480072,490,NA,US,US-AK,North Pole,no,5AK2,,5AK2,,,,
12248,5AK3,small_airport,Airway Airport,64.77320099,-147.3339996,480,NA,US,US-AK,North Pole,no,5AK3,,5AK3,,,,
12249,5AK4,heliport,Eagles Nest Heliport,61.606098,-149.039006,280,NA,US,US-AK,Palmer,no,,,,,,5AK4,
12250,5AK5,small_airport,Todds Strip,61.65710068,-149.4620056,400,NA,US,US-AK,Wasilla,no,5AK5,,5AK5,,,,
12251,5AK6,small_airport,Colberg Airport,61.55699921,-149.2680054,125,NA,US,US-AK,Palmer,no,5AK6,,5AK6,,,,
12252,5AK8,small_airport,Memory Lake Airport,61.63140106,-149.4320068,420,NA,US,US-AK,Wasilla,no,5AK8,,5AK8,,,,
12253,5AK9,small_airport,Grandview Subdivision Airport,61.54850006,-149.1900024,150,NA,US,US-AK,Palmer,no,5AK9,,5AK9,,,,
12286,5BK,small_airport,Black Rapids Airport,63.53509903,-145.8609924,2125,NA,US,US-AK,Black Rapids,no,5BK,,5BK,,,,
12287,5BL,seaplane_base,Homer-Beluga Lake Seaplane Base,59.6446991,-151.5019989,25,NA,US,US-AK,Homer,no,5BL,,5BL,,,,
12288,5C5,seaplane_base,El Capitan Lodge Seaplane Base,55.95859909,-133.253006,,NA,US,US-AK,Craig,no,5C5,,5C5,,,,
12299,5CD,small_airport,Chandalar Shelf Airport,68.06539917,-149.5800018,3222,NA,US,US-AK,Chandalar Camp,no,5CD,,5CD,,,,
12375,5HO,small_airport,Hope Airport,60.90409851,-149.6239929,200,NA,US,US-AK,Hope,no,5HO,,5HO,,,,
12429,5KE,seaplane_base,Ketchikan Harbor Seaplane Base,55.349899,-131.677002,,NA,US,US-AK,Ketchikan,yes,,WFB,5KE,,https://en.wikipedia.org/wiki/Ketchikan_Harbor_Seaplane_Base,,
12430,5KO,small_airport,Koggiung Airport,58.87009811,-157.0099945,30,NA,US,US-AK,Koggiung,no,5KO,,5KO,,,,
12431,5KS,small_airport,Kasilof Airport,60.35329819,-151.2630005,125,NA,US,US-AK,Kasilof,no,5KS,,5KS,,,,
12446,5L6,seaplane_base,Wasilla Lake Seaplane Base,61.58639908,-149.4080048,330,NA,US,US-AK,Wasilla,no,5L6,,5L6,,,,
12560,5NK,small_airport,Naknek Airport,58.73289871,-157.0200043,70,NA,US,US-AK,Naknek,no,5NK,NNK,5NK,,https://en.wikipedia.org/wiki/Naknek_Airport,,
12647,5QC,small_airport,Quartz Creek /Kougarok/ Airport,65.40589905,-164.6560059,416,NA,US,US-AK,Quartz Creek,no,5QC,,5QC,,,,
12760,5Z1,seaplane_base,Juneau Harbor Seaplane Base,58.2989006,-134.4080048,,NA,US,US-AK,Juneau,no,5Z1,,5Z1,,,,
12761,5Z4,heliport,Ans Hospital Heliport,59.00180054,-158.5319977,100,NA,US,US-AK,Kanakanak,no,5Z4,,5Z4,,,,
